gene,P1T,P6T,P14T,P15T,P16T,Cont-19,Cont-21,Cont-32,Cont-51,Cont-54,Cont-70,Cont-78,P3T,P10T,P13T,CONT-34
USHBP1,86,141,7,32,2,4,176,297,1248,623,149,14,128,5,3,181
CPLX1,19,36,15,14,19,12,48,107,142,85,26,17,30,19,3,42
CCDC144NL-AS1,7,6,4,7,0,4,14,11,41,34,6,3,3,6,3,28
SIGLEC22P,45,32,56,51,5,10,6,29,10,5,17,9,59,39,64,8
KCNK6,479,1333,1257,1773,210,101,734,537,291,98,417,198,787,719,1457,319
TMEM88,92,115,43,47,9,5,92,658,449,380,185,12,108,29,64,562
TGIF2,312,726,586,600,280,605,779,1593,713,491,368,487,604,395,509,1430
ZNF184,309,643,336,470,321,313,1145,904,473,173,371,713,396,251,210,568
GPATCH2,507,1111,535,671,340,709,1159,774,676,521,350,623,570,387,363,574
PPFIA2,8,18,4,16,1,0,24,66,50,38,20,11,8,1,1,25
OSR2,35,66,1,47,31,44,489,248,145,37,27,121,18,40,1,94
ITGA8,92,193,8,39,17,9,113,536,669,673,171,65,193,15,3,475
RP11-142C4.5,9,23,12,12,1,2,3,9,1,1,0,2,10,12,12,0
RP1-43E13.2,13,28,14,30,5,15,48,31,18,29,21,24,11,6,13,23
MEPCE,676,1159,861,1296,353,598,1606,2854,1431,1462,1023,1051,1142,909,1035,1963
CTC-523E23.5,5,2,5,3,1,2,13,20,63,32,16,1,6,4,0,3
AC009404.2,52,62,40,88,26,9,77,449,236,91,149,62,69,37,35,107
PPP1R3E,447,782,615,662,251,184,363,459,193,89,256,333,663,354,364,144
HOXC9,56,28,7,21,8,22,192,104,106,35,34,64,57,14,2,86
RNASE6,1811,4008,3908,4157,497,450,2731,1741,340,373,780,477,1778,3185,3759,1251
RP11-373D23.3,12,20,8,57,8,14,35,79,119,13,115,8,15,20,14,152
CDC25B,1017,3224,2825,1596,1758,753,2268,1527,900,540,800,486,2928,1643,1219,680
IGKV2-24,84,449,37,55,262,28,246,13,7,3,4,16,504,509,16,14
RP5-1139B12.2,16,29,38,26,11,14,5,17,8,1,5,5,29,16,18,6
CYP4X1,27,37,3,6,0,7,44,72,333,66,37,36,36,0,5,70
AIM2,181,706,336,198,320,222,149,169,44,15,59,116,328,213,496,114
SPRED2,370,456,380,830,155,278,617,1256,2611,1786,414,502,414,585,314,1042
KDM4C,598,1017,760,1084,470,429,891,708,429,276,383,432,739,551,560,426
RP11-61N20.3,28,36,30,31,8,17,33,100,95,58,18,33,9,10,21,74
CCDC69,1409,3962,3492,3224,2139,422,957,2157,710,770,1170,312,2702,1940,1929,937
CLEC4G,13,109,14,68,5,8,10,10,3,0,7,4,21,6,22,2
ADAMDEC1,46,3019,7708,426,308,210,445,134,41,42,509,244,363,1355,3400,320
BIRC2,2092,3756,2355,4017,1262,1321,6004,6335,3857,3056,1975,2728,2591,1777,2110,4416
CPSF2,756,2046,2030,2380,989,521,838,1044,1125,613,606,444,1759,1409,1927,559
CLEC4A,501,1085,823,1222,153,226,564,450,123,48,226,161,435,535,943,308
POM121L6P,23,12,27,37,2,2,4,15,3,2,6,1,15,40,18,4
GALNT8,13,107,45,42,22,4,11,18,12,4,15,5,29,27,9,7
DPM1,689,1107,762,1052,500,1849,1810,942,1022,826,625,856,1003,671,750,1042
MTERF2,508,635,363,738,206,960,737,1107,455,288,559,482,466,215,205,525
MYL3,15,4,1,20,0,2,104,79,28,18,2,29,6,0,0,176
COQ7,360,561,417,649,214,646,965,546,500,260,299,455,598,345,375,585
LMNB1,507,2454,1726,1398,1380,621,1103,1118,424,219,456,346,1115,1581,1122,776
SLC35E2B,3063,5262,3733,3311,1858,1608,3415,3587,1988,717,1485,1657,5395,2354,2503,1288
SLAMF1,194,1230,1089,632,1237,191,469,183,71,48,363,105,564,575,255,74
SAV1,413,606,415,867,149,400,720,1212,1244,1536,419,499,586,306,382,856
SPHK1,257,436,312,600,46,536,378,1330,897,640,151,448,390,260,317,1361
P4HA3,21,41,2,189,14,748,52,62,492,41,91,95,41,5,5,43
SRSF6,5690,7720,5943,8456,2715,4489,9937,11937,8064,4694,5925,6674,5710,3919,4946,5053
RP11-262A16.1,1,3,2,2,0,5,2,7,14,11,3,3,2,0,0,4
ZNF487,156,202,143,207,72,200,718,229,208,127,103,170,198,136,95,147
BRI3BP,331,908,881,1026,374,542,591,358,202,121,256,262,879,498,881,282
ARHGAP25,1249,4924,4095,2844,2149,598,1612,1700,944,1389,1254,549,3969,2151,4100,950
GSTM3,420,144,112,257,9,256,1012,717,596,540,270,438,435,83,99,575
FUT7,37,85,99,86,25,2,87,25,9,5,18,16,72,62,64,20
VSIG2,10,12,7,6,0,0,22,66,121,78,21,2,13,4,0,30
VSIG10,378,476,392,215,93,265,807,583,735,419,396,356,444,313,176,445
RASIP1,84,154,15,58,3,10,173,388,1308,1040,183,6,254,10,5,421
SLX4,232,513,540,531,315,136,246,391,270,71,202,219,539,456,403,154
PARP11,329,844,577,740,464,237,397,339,368,180,255,196,438,397,573,200
SLC26A10,8,14,0,5,13,9,29,34,204,27,33,14,24,4,0,44
GJA3,2,2,2,4,0,14,9,5,9,1,5,5,4,0,2,10
DEF6,1758,5014,3737,3848,2181,668,2597,1975,512,111,1467,688,3474,2641,1622,805
SH2D1A,314,2116,1089,653,1747,289,436,557,158,41,388,139,1120,600,322,234
EPHA3,52,55,1,28,0,14,55,168,863,123,126,11,69,14,2,160
ST6GALNAC5,0,1,1,0,1,3,125,25,1,1,0,12,4,1,0,3
RP11-4L24.4,49,94,102,40,83,19,76,73,20,7,19,38,149,65,101,14
CYP46A1,17,24,18,24,3,6,30,37,160,132,31,18,36,7,1,44
MBP,1257,3119,3359,2682,1255,425,1582,2255,613,531,1110,637,3888,1769,3409,1274
RP11-452C13.1,8,32,26,47,3,4,15,13,4,1,7,3,18,18,38,2
PLEKHA4,348,433,74,323,76,778,896,689,678,180,288,366,637,105,52,1046
RP11-420L9.5,123,125,65,142,26,74,454,205,165,158,101,127,156,101,98,225
CYB5D2,321,633,288,480,150,324,997,543,625,407,260,244,417,210,260,496
RN7SKP80,8,17,11,17,14,17,49,20,14,26,7,114,16,10,5,46
LINC01347,222,302,356,276,84,98,91,254,78,52,107,122,323,269,263,55
EGR4,4,14,6,17,7,0,1,87,17,26,17,40,3,4,8,242
HIC1,80,132,128,144,56,20,77,607,1184,558,290,73,174,94,141,525
THSD1,63,100,50,86,22,41,172,157,480,228,117,36,122,43,30,77
DOK1,479,1367,1060,1136,223,330,1093,484,209,109,264,283,924,801,1378,408
SCARNA7,3,2,0,4,2,3,13,9,5,4,3,14,1,0,2,5
ABCC5,1451,5890,5974,5326,917,672,2558,2725,1292,503,1970,1257,4746,4103,7409,1197
POM121L14P,9,15,11,14,0,2,4,4,1,0,1,3,5,15,14,1
AC109826.1,95,268,247,234,28,29,160,67,14,6,55,56,175,145,138,41
RP11-109L13.1,123,271,260,162,113,50,132,153,92,47,74,59,179,107,129,86
RPL23AP53,23,34,36,24,17,60,76,63,24,23,23,52,37,22,18,24
TAS1R3,14,52,13,17,105,7,21,12,11,3,6,10,94,23,15,11
TNFRSF11A,71,604,640,1040,93,191,277,178,51,38,188,87,458,946,624,139
DOCK11,2358,4784,4239,4205,2089,1203,1906,4041,1428,474,1347,1447,2849,2839,3165,1260
RP11-597D13.9,88,328,219,369,27,12,67,142,95,22,69,24,229,193,387,36
CNN2,1322,5960,4857,4780,3174,1459,2066,2660,1147,743,1259,536,4258,3300,1570,1935
CD209,175,2479,705,1738,555,202,394,280,101,42,433,100,357,479,956,197
HSPB6,3,8,6,35,1,14,15,43,76,36,24,3,22,12,2,164
