gene,P1T,P6T,P14T,P15T,P16T,Cont-19,Cont-21,Cont-32,Cont-51,Cont-54,Cont-70,Cont-78,P3T,P10T,P13T,CONT-34
TBC1D24,115,291,245,258,115,186,239,251,166,78,107,148,310,188,203,185
EIF3FP3,111,327,175,224,114,211,317,205,94,60,95,140,383,186,149,177
THNSL2,861,715,140,629,187,611,1507,199,234,152,312,45,810,137,61,945
TRIM31,1,1,2,2,1,6,27,0,0,0,0,2,7,8,0,5
GALNT13,23,9,0,48,0,2,0,33,0,2,0,22,0,41,1,1
AHNAK,43824,52774,66345,36952,28384,58614,35988,88493,60065,34485,27696,29654,96235,33967,31364,27741
ZNF239,59,150,65,138,27,72,154,87,26,14,44,146,107,52,15,50
PRSS2,0,1,3,0,0,15,5,0,70,1,2,1,10,5,0,0
KMT5C,220,453,192,330,178,204,356,660,145,95,185,220,348,243,214,265
RP11-305D15.8,3,3,0,5,0,1,11,2,1,0,2,0,2,1,3,6
BET1L,1095,2037,1485,2040,763,2059,2228,2070,1068,613,834,1092,2614,1248,1143,1326
TRAPPC6A,272,504,357,407,122,599,892,358,194,85,219,167,475,356,317,346
RP5-1007F24.1,23,22,2,53,2,3,302,22,12,1,31,8,6,360,2,26
PAXBP1,2356,3100,2368,3251,1486,1176,1714,2747,1969,1429,1552,1356,1648,1653,1641,936
RFC5,270,582,448,416,389,818,889,418,259,97,222,489,434,435,224,207
CPNE3,1832,2685,2021,3048,1478,1914,3258,2316,2095,1286,1094,2431,2887,1345,1988,1361
DAGLA,65,155,158,142,21,109,80,182,172,69,74,67,241,125,395,139
ATE1,597,1145,811,997,551,448,788,783,1326,826,438,561,1003,661,687,525
RGP1,716,1171,1043,1005,494,444,1098,1057,1642,785,646,294,1331,773,816,768
GNAQP1,22,17,20,30,6,16,10,27,31,25,9,20,21,24,15,6
RP11-775D22.2,13,7,0,0,0,3,2,3,0,1,1,3,2,1,1,0
CHGB,5,10,12,22,4,2,7,8,2,9,10,4,122,11,2,3
AC142528.1,4,10,3,5,1,5,5,3,1,0,2,8,11,3,4,2
NCAM2,3,33,3,1,6,13,82,7,4,0,12,1,4,23,2,1
ZNF33A,2068,3116,2929,2546,1180,1269,4149,2835,1759,584,1081,2223,2428,1677,1811,1041
CRNN,0,1,0,1,3,0,2,0,0,0,0,13,4,0,0,1
CPXM2,114,318,32,94,14,15,214,288,124,212,371,32,1062,8,12,237
SIN3A,974,2225,1692,1926,1239,968,1462,1958,1504,1355,947,1133,1725,1434,1095,1532
HMGN1P38,27,3,0,0,1,1,2,1,0,0,1,1,0,1,0,1
CLPTM1,1096,3032,2129,2406,930,2131,3234,1787,1399,916,871,1153,3376,1849,2043,1663
FRA10AC1,692,936,679,936,503,495,1287,748,572,274,345,652,910,532,520,453
SIKE1,761,1163,933,1080,537,622,1121,987,747,420,565,735,980,709,831,494
AC093326.1,2,2,0,12,0,2,2,6,0,0,0,1,7,0,0,0
IER3,4447,25427,4688,25560,1688,1158,8524,20052,5137,3216,6079,2138,3973,9443,3903,29456
FN3KRP,551,1350,839,1116,409,809,2079,883,526,279,543,676,1009,805,693,695
CCDC169,8,6,1,0,3,4,32,2,2,0,7,9,5,10,6,3
RP11-136K7.2,8,1,0,3,1,1,7,15,0,0,2,0,0,1,0,2
MTCO1P11,5,7,8,3,8,0,0,15,7,4,1,0,4,1,7,1
PYROXD1,804,1385,851,1003,934,1086,1740,633,555,303,378,768,924,599,660,480
ZNF529,576,708,624,639,286,296,401,955,438,485,345,373,512,317,390,350
SENP6,2966,6051,3055,4167,1775,1791,4292,3779,3843,2706,1836,1774,2682,2334,2298,2245
CCS,803,1332,852,1179,402,880,1612,943,449,214,425,507,1165,628,650,694
METTL4,406,554,430,571,247,186,395,468,641,432,172,244,364,249,293,266
CRHBP,31,115,24,114,9,10,40,107,84,10,14,125,24,70,48,50
CSPG4P12,147,128,34,86,59,182,173,126,51,16,43,163,136,81,30,22
RP11-483L5.1,38,80,6,2,11,84,13,38,12,8,19,72,111,0,0,12
DDOST,3304,9333,5037,6490,2769,10813,10439,4212,3341,1694,3130,4352,6269,5345,4836,3628
RP11-553P9.1,36,44,15,40,12,16,60,34,24,23,18,25,55,25,12,25
ACOT9,1243,1868,1785,2508,589,1051,1635,2849,1625,1204,961,727,1363,1488,1776,1554
SLITRK5,65,44,11,40,12,24,141,54,43,7,11,22,19,224,10,48
DLGAP1,6,16,6,10,14,1,27,42,18,3,4,6,13,10,8,6
SMIM15,638,1546,967,1681,760,1285,1854,816,563,402,542,932,1068,1020,1425,880
RP11-93B14.6,2,11,17,4,5,4,10,2,1,1,6,10,8,12,1,5
CCDC14,2820,4384,2956,3554,2163,1276,3308,3886,1718,721,1695,3453,2062,2024,1653,1058
CFAP44,196,273,192,286,117,62,530,310,219,51,141,143,158,121,78,81
HINT3,629,1197,804,1142,281,388,1370,764,760,470,411,395,945,573,1041,572
SCAMP3,663,2042,1155,1460,737,1583,2519,994,763,496,546,912,1267,1040,1003,1093
RP4-598P13.1,91,119,66,82,45,38,135,112,72,28,56,87,72,72,42,44
RP1-140C12.2,3,11,5,7,2,1,4,1,8,4,4,0,3,7,2,1
TCEB3,698,1716,1563,1393,629,655,1464,1356,1745,1191,559,806,1449,1045,1425,1135
RP11-298C3.2,41,99,71,93,47,123,166,54,53,20,37,34,97,66,43,70
RP4-548D19.3,16,45,33,37,24,60,37,17,14,1,15,32,48,34,27,12
PPIL3,598,1441,786,1208,515,939,1428,615,519,199,503,748,703,786,685,335
RIPK1,858,2158,1922,2346,1045,701,1679,2168,1887,1575,1030,786,1980,1308,1565,1949
RP5-875O13.7,5,11,3,6,1,1,4,19,0,0,2,8,3,1,1,3
DNMT3B,67,185,125,130,133,93,158,134,59,25,66,82,95,65,36,51
RPL17P26,5,6,1,3,1,4,12,2,3,0,2,2,5,2,1,3
NECAB1,104,46,1,2,1,11,9,36,9,75,1,8,4,2,0,29
ZP2,0,2,0,0,0,1,0,0,3,0,1,24,0,0,0,0
HACL1,334,703,539,518,329,487,658,457,450,334,281,269,465,359,390,321
AC002511.3,3,10,0,2,1,3,22,23,1,0,12,0,51,1,1,26
CFAP43,187,273,10,36,56,120,359,104,11,10,41,132,117,17,1,119
ANKRD13A,2786,4603,2728,4134,2015,1144,6050,3597,1657,1036,2213,2262,2650,1998,2389,1460
DUSP26,3,2,0,1,5,1,12,3,2,3,1,3,7,0,0,1
MORN3,63,141,121,69,59,40,151,94,29,16,66,49,79,64,18,36
SARS,2577,4984,2769,4436,2127,2680,4968,2782,2443,1964,1507,2660,3105,2422,2145,2776
FMOD,62,2578,141,239,286,1705,415,594,361,24,150,717,821,117,19,71
XXyac-YR38GF2.1,3,0,0,0,1,0,0,5,30,1,1,1,2,0,0,2
XXbac-BPG252P9.10,10,45,8,50,7,1,35,14,7,8,4,5,6,11,8,21
RSPO3,3,63,1,18,5,0,24,53,11,16,22,9,91,5,0,50
ENTHD1,3,5,3,31,6,39,12,0,1,0,1,16,5,3,6,4
FAM156B,1082,1406,863,1287,418,1013,1560,1295,761,283,797,899,1135,696,826,576
FOLR3,12,13,30,32,2,2,1,8,55,2,2,3,18,8,22,4
MFSD3,82,249,131,172,77,192,368,107,57,26,45,116,259,155,146,108
MAP1S,211,657,533,622,197,276,676,518,680,350,183,183,1022,748,770,564
FMO4,271,410,252,382,44,118,367,323,86,43,334,485,243,174,257,201
SMAD4,1213,1915,1431,2075,637,718,1891,1709,1531,1144,699,844,1526,983,1162,1125
BANF1P3,54,189,129,143,46,213,217,66,64,46,55,77,84,110,106,88
CTD-2531D15.4,3,6,1,2,2,14,5,1,1,0,2,3,9,1,0,1
RP11-12A20.4,0,0,0,0,0,0,0,3,3,18,0,0,0,1,0,0
NDUFAF3,444,1295,676,980,315,748,1313,644,477,253,304,438,893,788,666,643
SNHG4,17,51,56,41,24,49,25,47,32,44,14,73,50,53,46,28
HDC,219,521,183,752,27,19,890,329,165,73,611,21,61,257,33,104
RPS2P4,44,57,37,64,21,43,111,46,28,14,22,42,24,34,31,17
SYT3,1,6,0,4,6,5,11,0,6,0,3,4,1,2,0,0
GEMIN7,301,640,299,430,234,491,761,228,100,76,174,265,466,295,275,229
RP11-517H2.6,9,13,5,16,7,5,15,16,4,2,16,15,11,3,7,1
IGKV1D-8,4,68,1,3,10,133,56,3,1,0,0,6,53,18,0,3
HSF1,962,2105,1364,1633,859,1112,2261,1526,1127,962,625,864,1763,1312,1073,1466
TIGD1,278,490,250,425,145,214,705,210,107,32,156,256,273,242,115,102
RAB19,4,9,6,5,5,1,14,8,3,1,2,3,13,2,3,3
ZNF77,60,137,189,131,48,60,115,112,220,59,69,98,134,80,99,69
EIF4BP3,271,415,278,403,206,253,341,264,228,162,183,332,456,249,220,130
PET100,554,1166,645,945,374,860,1904,629,465,219,388,373,734,546,495,593
PRUNE1,525,1233,579,888,480,1109,1038,633,397,263,293,1017,873,444,408,347
RANBP1,723,1828,1082,1393,875,1844,2873,913,842,412,553,819,1270,1216,743,943
PSEN1,1549,3417,3365,4048,1092,996,2458,3311,2275,1968,1327,1167,2763,2073,3661,2333
SEC23IP,713,1821,1792,1979,777,1050,1848,1345,1010,958,733,1030,1723,1243,1641,984
BCLAF1P1,48,58,50,52,22,19,31,61,80,40,37,28,52,32,34,20
G3BP1,2327,4849,3972,4140,2770,3441,3578,4123,3262,4078,1999,2926,5128,3034,3907,3061
PLAUR,3397,6556,3811,27260,620,1470,3968,23047,5427,2236,3990,786,3417,5807,5596,18094
ZNF524,181,513,250,349,128,361,577,219,184,92,88,206,554,257,288,229
RP13-401N8.3,8,11,2,6,0,8,1,7,1,1,3,2,18,3,2,5
FSCN3,9,3,4,7,3,2,7,15,9,2,6,4,13,2,3,3
WDR48,911,1740,1384,1574,639,706,1284,1724,1416,1040,729,864,1517,901,1180,843
TBCE,512,923,519,683,342,660,1233,483,361,241,309,532,632,419,457,418
EIF3M,3133,5602,3364,4710,2153,3397,7263,3311,2505,2030,1609,2918,3602,2789,3049,3216
NPM1P35,52,58,22,51,31,61,95,29,38,26,21,61,86,47,27,35
CTC-260E6.6,35,63,56,49,25,38,55,78,38,28,18,54,74,40,35,38
RP11-283G6.3,15,30,16,17,11,20,16,32,1,10,12,35,34,9,7,9
NCK1,855,1930,1124,1159,1087,1201,2706,940,1174,1096,556,1090,1106,844,1443,687
ZNF678,334,580,377,367,231,269,349,329,355,101,203,301,311,258,194,126
RP11-1000B6.3,42,11,15,37,5,16,24,36,18,13,17,19,41,33,21,4
CTD-2600O9.1,10,11,5,7,1,3,23,6,2,1,3,6,4,0,0,3
TAF1B,370,566,430,461,236,168,643,326,387,190,243,210,414,252,289,250
NRG1,139,68,180,548,25,38,166,120,11,159,116,218,111,30,32,190
TSPAN19,12,2,1,1,2,5,3,0,0,0,3,3,6,1,0,0
ATP5G2,3317,8522,4476,7103,3587,7193,12685,4976,2520,1724,2684,4977,5301,4156,3960,3557
LRRC27,287,533,289,467,111,315,754,352,178,82,196,335,390,237,298,305
KDM4B,935,1421,1209,1482,609,1141,1165,1395,855,751,794,1024,1927,932,946,981
CTD-2587H24.10,0,0,1,2,1,6,11,0,1,0,1,1,7,1,1,0
MUM1,1191,1709,1228,1485,550,1177,1092,1370,1106,786,832,989,1738,753,1013,855
NHSL2,291,320,599,473,106,49,224,555,1664,234,291,113,879,208,432,173
AC090804.1,33,68,44,46,31,51,128,40,23,16,23,47,19,49,40,28
MRPS31P4,15,25,26,17,9,8,17,19,24,7,14,17,31,22,12,8
USP5,793,2367,1755,1934,1138,2563,2983,1056,928,404,808,954,2072,1938,1443,932
MAP3K9,66,226,239,92,107,35,85,316,47,65,54,98,189,127,40,95
RP5-1057I20.4,6,13,20,10,2,8,12,20,9,4,7,10,19,8,45,18
FTH1P5,1048,2037,1587,3556,602,1115,3342,1508,487,494,689,913,1426,1315,2210,2218
CLLU1OS,0,0,0,18,3,2,8,8,0,0,5,1,0,4,1,13
RAB14,2101,4150,3321,4533,1671,1850,4149,2873,2730,1947,1326,1472,2734,2270,3666,2654
RP11-1018N14.5,1,28,115,25,27,1,22,14,23,7,20,5,30,12,68,95
SRRD,437,836,579,789,357,772,1363,540,362,252,394,370,658,442,497,370
CLIP1,1814,3967,2923,3332,2927,1614,1755,2791,2871,2408,1646,2129,3864,2479,2599,1852
PHF23,252,1136,649,892,405,304,1277,591,404,717,276,582,759,460,728,702
RP4-798A10.4,27,88,50,111,3,38,114,49,14,11,26,28,47,33,46,15
EIF4E2,1215,2997,2458,2718,1024,2108,4812,1591,1239,750,1065,795,2495,1722,2344,1581
CCDC181,1,0,5,8,0,1,20,12,11,3,1,5,24,5,0,2
TPRKB,397,679,398,618,216,353,1065,390,344,294,183,346,461,365,467,446
SRSF10,4024,5457,4191,4104,2847,2258,3916,6106,4039,2973,2208,3302,3231,2770,2661,2299
PSMC1P3,7,13,16,18,8,8,21,11,16,10,10,5,14,13,8,12
RP11-667F9.1,9,11,6,6,7,4,7,8,7,2,5,6,3,14,3,4
CTD-2313J17.6,13,26,1,19,5,2,7,34,1,4,18,2,2,11,3,19
AC104451.2,6,12,14,24,10,11,13,10,3,8,4,23,22,21,3,2
DHFR,461,2443,968,1232,844,1304,2085,591,543,160,412,964,948,1070,554,487
UBR1,1120,1866,1643,1814,1094,886,769,1517,1987,2069,752,1031,1466,1030,1167,711
RP13-228J13.1,4,21,8,11,6,3,11,14,2,1,7,10,18,4,6,6
LARS,3191,5442,3175,4779,2098,3323,4993,2597,3136,1745,1761,3200,4355,3315,2632,1955
MORN4,138,149,40,117,58,163,160,97,56,27,50,127,187,53,35,83
RPL23AP42,2928,5027,2627,4631,1998,2795,8268,2898,2323,1552,2012,2773,4041,2786,1758,2024
AC068196.1,2,5,13,2,1,8,7,6,0,0,1,1,3,5,3,0
LRP11,180,304,214,344,203,226,295,285,278,271,178,129,405,324,191,274
ENTPD3,2,0,7,3,7,24,0,1,7,0,1,4,3,3,0,0
NEU4,15,72,4,24,25,1,37,63,14,30,1,12,19,12,18,52
SEC63,2133,4122,2650,4384,1781,1715,3000,2415,3030,1767,1552,1490,2583,2057,2375,1606
RARRES1,77,1365,706,989,3037,2540,1959,232,44,22,251,682,859,343,830,757
FAM209A,31,47,34,35,14,8,22,30,26,15,30,6,24,18,12,7
KLHL11,122,83,93,67,57,32,36,160,129,82,55,143,99,67,65,16
HCG20,5,11,2,13,1,2,2,15,1,2,4,2,6,6,7,5
SAC3D1,46,189,99,101,48,154,190,47,40,18,30,47,128,99,84,74
DLST,1717,3498,2603,3367,1216,1184,3301,3578,2518,1784,1463,1297,2524,1993,2223,2050
KRT34,0,0,1,6,0,0,3,6,0,2,1,81,0,3,0,1
PANX2,12,40,27,56,72,141,41,29,7,3,18,116,37,25,21,3
RP11-425D17.2,2,3,5,2,3,2,5,0,0,1,45,5,0,6,3,2
MRPL28,729,1672,957,1210,649,1468,2309,1063,555,362,586,658,1339,1014,754,1086
PCAT7,12,10,6,9,2,9,15,9,3,2,1,6,17,9,3,5
ZNF16,154,231,215,240,189,218,520,143,182,145,109,193,281,142,177,120
KLHL28,393,554,613,627,304,186,216,622,570,303,318,321,560,376,459,220
MRPL35,539,1075,750,910,397,815,1604,646,576,283,425,739,923,615,750,538
RP11-909N17.2,0,10,0,0,3,4,0,15,0,0,1,4,1,0,1,0
GS1-44D20.1,28,96,74,99,39,59,65,76,155,79,40,46,89,91,91,34
AC074141.3,40,62,61,85,19,12,54,90,42,15,49,35,67,30,58,12
GPR107,1507,3241,2648,3059,1643,2427,3492,2481,2344,1197,1383,1165,2583,2725,2998,1970
ZNF513,399,949,770,949,315,479,1170,616,584,350,306,340,804,544,650,480
RP11-596C23.6,7,14,19,12,6,9,14,11,7,1,11,9,14,10,6,2
AC004870.4,0,11,3,15,24,1,49,62,0,0,12,1,2,0,0,2
RP11-864J10.4,2,2,2,2,0,3,18,2,0,1,0,0,0,3,2,0
BAZ2B,1824,2088,2478,3078,708,608,1704,3103,3591,1964,1441,1208,2183,1916,2019,1235
FAM135B,15,102,34,16,13,16,37,37,2,47,13,56,57,4,3,6
C1S,4223,26280,1854,14698,16484,27023,26687,3671,1358,642,12196,16649,9947,1914,575,2210
RP13-88F20.1,8,24,18,21,9,13,7,16,15,13,13,11,20,27,17,10
IFIT5,539,1096,475,637,463,651,1289,706,656,302,315,475,641,597,690,578
RP11-334C17.3,5,23,7,14,3,5,21,18,5,1,6,12,14,6,4,8
RP3-467L1.6,23,17,24,26,9,1,16,41,13,7,9,18,14,19,21,12
PDCD6,1175,2544,2064,2822,1369,3033,4442,1754,1654,767,1247,1456,2580,2213,1517,1447
FRG1CP,291,712,501,373,334,621,440,404,446,269,242,269,300,297,327,200
ZNF677,175,150,312,174,53,23,97,235,455,179,99,51,145,82,159,78
RSBN1,754,1383,1096,1184,779,572,768,918,861,587,468,695,802,592,569,487
CTD-2035E11.5,19,43,37,31,10,10,89,15,10,4,13,14,22,18,23,14
RP3-395M20.7,23,46,35,36,17,19,67,43,6,3,16,12,31,28,17,25
MBTD1,907,1268,1047,1223,486,421,969,1018,881,483,611,846,843,687,827,248
DIO3,0,0,0,2,12,25,1,2,1,50,3,3,3,0,0,0
S100A7,0,0,0,0,0,1,4,1,0,0,0,0,27,0,0,0
RP11-77A13.1,0,0,2,0,0,0,0,2,1,0,2,2,12,4,0,0
DHX36,1702,2361,2194,2657,1442,1584,1793,3121,2171,1842,1218,1381,1651,1905,1713,1154
RP11-219F10.1,1,6,0,2,0,0,12,5,0,0,0,1,0,0,0,0
HBEGF,4011,5754,2373,19966,368,293,3271,10783,7121,5575,4253,2269,893,4401,4469,6072
RP11-90D4.3,5,9,5,4,2,1,16,6,3,0,1,0,9,2,2,20
CDC73,956,1517,988,1602,813,895,1127,1123,1222,978,580,867,1215,775,891,839
SLC35A1,407,769,448,682,221,338,1351,351,514,202,318,191,447,241,432,364
OR7E12P,4,10,4,5,2,11,6,12,0,0,2,6,3,5,5,5
BAIAP2L1,138,208,81,306,232,737,1013,242,189,110,143,674,317,1151,19,69
ACSBG1,0,6,6,6,4,5,4,18,1,2,1,50,2,5,4,5
HSPA4,1729,4833,3257,3939,2021,2201,3304,3427,2541,9064,1417,2704,3214,2996,3339,6399
NME1-NME2,2,7,5,14,6,2,8,0,4,1,3,8,8,5,2,6
ANKRD20A8P,1,8,6,11,3,6,27,6,3,9,2,9,8,24,6,14
KPNA3,764,1793,1465,1709,749,700,794,1203,1347,896,686,581,1084,964,1538,931
RP3-461P17.10,15,21,18,40,14,19,32,16,14,9,9,19,30,13,24,16
MLEC,3216,5901,5627,5401,5490,12046,5692,6095,3651,3043,4186,5232,11624,3750,5368,4285
TPTE2,4,6,2,5,12,5,45,2,4,6,1,2,9,0,2,1
CWF19L1,655,1485,974,999,498,706,1456,1032,642,341,525,697,1028,749,772,572
RP11-250B2.6,3,17,8,10,2,6,12,11,6,5,5,1,15,9,11,7
LINC01376,31,42,3,15,10,10,42,15,13,8,7,37,22,7,5,10
RP11-762H8.1,1,0,0,0,0,0,0,1,1,21,0,0,0,0,0,2
RP3-395M20.12,35,115,48,35,27,12,41,116,61,22,39,19,84,32,32,79
ALG11,182,255,295,275,101,116,177,222,253,141,109,158,275,161,199,100
TRIM5,582,1055,905,986,349,847,849,662,732,490,380,605,854,530,491,376
B3GALT5,9,11,40,40,239,538,59,33,13,3,99,27,128,13,1,5
MYH9,11005,35413,33673,26528,16089,13600,19944,22059,34624,14801,13541,6424,37336,24922,17007,16703
RP11-342K6.2,5,9,10,11,4,17,11,9,11,3,1,10,15,6,5,3
AIDA,2798,4946,2559,3261,1991,4075,4454,2647,2464,1922,1227,2050,2703,2208,2514,2267
CYC1,1117,2335,1439,1619,947,1869,3247,1373,990,643,554,1182,1761,1154,1180,1298
HARS,1305,2603,1820,2056,1120,1288,2585,1554,1543,939,948,972,2318,1452,1230,1361
TAS2R20,12,20,30,30,15,18,22,20,5,2,9,29,19,9,16,7
LINC01187,9,2,6,17,0,1,8,6,5,0,8,8,18,5,8,5
SPIN2A,54,109,71,68,45,58,134,58,44,20,34,62,43,50,42,58
LVRN,12,31,7,20,6,6,8,7,11,18,11,10,5,5,0,2
RP1-228H13.5,20,50,52,58,15,18,35,51,57,24,24,21,35,32,42,48
PRKAR2B,211,287,280,269,73,198,218,207,276,193,75,190,276,150,523,105
TBK1,1061,2072,1541,1837,1192,1127,1450,1757,1607,1486,787,1058,1514,1211,1429,1262
IL22,0,2,0,7,10,1,22,0,0,0,22,1,1,4,0,0
DGCR6L,510,1271,487,576,416,922,1654,588,410,166,348,467,897,484,556,669
C9orf40,55,134,113,120,74,46,109,91,137,120,54,66,116,97,84,83
SERPINA1,15154,28486,27608,35687,6200,19376,51555,21586,2708,7329,73863,13794,82398,10599,17306,15628
RP11-436H11.1,166,378,237,362,126,282,414,150,114,81,101,186,246,228,155,154
COPS5,1401,2350,1550,1907,1272,1185,3487,1604,1353,992,830,1313,1700,1090,1320,1232
RP1-20C7.6,9,17,8,14,1,8,22,13,4,1,6,12,8,10,6,8
HIST1H2BG,607,474,100,274,240,120,1091,186,32,378,99,617,141,188,75,41
RP11-144C15.2,3,4,4,497,2,2,8,4,6,5,3,4,9,1,3,0
AC010127.3,24,0,5,2,0,4,99,10,1,4,0,7,23,0,4,2
RP4-694B14.8,13,9,9,3,4,13,12,8,5,1,0,10,5,5,7,14
RP11-216N14.7,5,13,4,5,2,0,7,6,1,3,3,2,5,1,1,1
FAM3C2,73,199,126,156,194,252,134,134,144,85,87,136,149,107,80,86
RAD17,871,1482,972,1074,786,849,1555,732,795,357,584,849,879,688,835,502
RP11-707O23.1,3,7,7,9,3,2,10,11,4,4,5,6,6,2,9,5
ESPNL,13,40,1,6,1,12,9,9,3,2,1,70,45,15,6,21
SP3,2793,4420,3052,5310,1967,1842,2932,4131,3459,1557,1986,2163,3260,2556,2603,1974
CIPC,404,842,675,698,202,220,438,636,631,475,280,328,741,430,882,380
RP11-332H14.2,171,224,152,168,93,116,240,227,145,54,104,247,224,116,74,49
AC008746.12,24,37,45,23,4,28,44,12,2,4,7,17,19,17,9,14
AC012066.1,0,15,3,0,1,4,22,4,0,2,2,5,5,5,6,5
SEL1L3,2988,6072,4320,5122,3826,4420,6906,3977,826,499,3108,4699,4192,3318,3791,2173
CLMP,9,17,15,374,516,221,141,17,3,3,161,122,21,22,11,9
ADAMTS2,120,435,28,573,57,36,215,239,684,291,439,44,1242,57,132,286
RP11-699L21.1,3,2,0,4,1,11,12,5,0,0,1,3,6,3,4,0
ETV1,96,719,249,234,534,295,236,190,369,89,145,58,74,101,57,62
RP5-947P14.1,15,30,13,10,13,10,29,10,12,4,5,8,13,13,4,8
LINC01115,0,0,0,2,0,1,0,0,0,0,0,0,15,0,1,4
TNFRSF1A,1872,5415,3151,6564,1197,3657,6509,4007,2063,2829,1961,1979,4333,2906,3582,2739
C15orf48,317,1067,664,2042,87,612,1316,1544,188,214,607,155,555,653,1441,2605
RP11-736N17.11,2,1,0,1,1,3,11,3,0,1,2,1,9,3,0,2
RFPL4B,0,16,0,0,2,0,0,5,2,5,0,0,26,0,0,0
SUMF1,518,1613,1196,1674,270,1028,3495,843,723,380,658,787,1074,599,1584,910
XPNPEP1,1767,3565,2245,3141,1298,1930,2621,2570,1862,833,1411,1975,2228,1953,2019,1365
NAA25,1036,1831,1253,1657,1011,920,1200,1344,978,579,830,1454,1239,1106,999,487
ARFIP1,628,1453,945,1232,353,588,809,744,918,574,453,701,1096,663,1149,622
MEF2C,1854,3050,2296,4941,385,533,1756,2734,6971,2446,1530,595,2243,2289,2796,1594
ZNF426,375,552,645,564,286,241,392,881,585,349,352,210,577,319,492,525
RP11-204C16.4,159,272,223,244,216,202,241,330,254,177,145,174,250,239,177,143
TMEM68,342,749,397,422,428,493,794,314,270,138,210,435,540,270,399,242
SPIN3,278,332,400,402,157,279,418,294,174,54,215,323,297,306,184,69
WNT6,5,3,1,1,4,0,11,15,5,7,1,0,12,2,4,3
C11orf68,290,831,501,656,258,638,1017,626,297,225,205,358,753,432,453,552
RPL36AP43,5,7,3,5,0,10,8,5,0,0,2,13,13,2,0,1
NSUN6,569,716,560,514,285,279,926,648,465,197,281,523,419,393,240,282
CTD-2017D11.1,23,85,46,39,7,19,16,76,51,29,35,24,81,28,19,30
TMEM185B,258,506,489,500,142,280,383,435,455,346,231,207,489,373,418,411
KRT8P39,12,8,7,11,6,4,8,11,6,6,5,11,10,13,5,1
TUBB8P12,2,3,6,1,1,2,13,7,3,4,1,16,6,3,15,1
TMIE,5,13,4,12,10,24,25,9,6,0,0,7,11,11,2,12
MT-TL1,0,2,3,11,1,0,0,4,1,1,0,3,1,1,0,0
MRPS34,487,1248,656,750,520,1316,2600,583,314,189,344,789,1112,993,667,893
CYP4F60P,3,2,3,3,0,0,9,5,0,1,1,0,0,13,1,2
TMEM9B-AS1,56,67,63,66,12,85,30,40,23,19,15,63,82,52,46,25
RP11-273G15.2,34,33,4,9,10,5,31,73,11,8,16,11,72,10,2,41
RNASEK-C17orf49,14,33,22,28,6,9,51,17,9,6,7,10,22,21,18,21
FCN2,21,23,51,50,7,0,7,39,13,51,9,4,39,21,55,19
EPHB3,71,168,48,303,12,12,159,122,96,70,79,81,153,242,46,47
RP11-800A3.4,53,23,12,65,25,79,35,121,19,17,6,22,24,42,43,39
RP11-314N13.10,5,17,10,9,7,8,15,17,12,24,7,3,32,13,11,10
PAGR1,63,115,59,96,37,120,130,93,54,18,37,44,134,56,55,90
ADAMTS7P1,4,16,12,14,1,4,3,7,26,7,10,4,5,15,7,7
CCSER2,1578,3375,2322,2432,1733,835,1414,2223,2325,1320,1089,1267,2306,1366,1109,1251
CCL4,2856,34990,10675,12113,7201,1329,3696,15796,4222,1943,4671,807,5741,9974,3760,20868
CFAP54,341,459,245,314,226,125,457,523,292,154,256,234,218,264,163,159
WWC1,1141,443,106,296,487,559,1876,1054,75,652,137,1066,2316,686,33,1163
PSMC1P9,30,50,39,57,23,31,70,43,36,29,22,20,36,30,43,36
CTD-2152M20.2,9,17,13,17,10,5,15,11,14,8,10,1,10,9,9,4
CDK9,1252,2323,1806,2254,777,716,2710,2133,1455,824,715,610,1785,1472,1508,1519
COLGALT2,96,214,151,236,96,615,49,103,34,38,62,20,59,66,30,28
RP11-55K13.1,4,8,9,7,4,6,12,2,0,0,1,13,13,4,6,4
POMGNT2,110,223,164,261,60,234,215,206,212,86,107,147,331,186,189,147
CRAMP1,348,717,677,539,317,157,545,531,707,245,304,257,686,387,412,331
AGPAT2,469,1027,857,998,380,933,2069,648,231,154,321,359,1143,756,921,744
ZNF277,637,1102,607,1042,484,542,1034,746,433,293,467,629,688,631,572,557
RP11-43N16.4,190,242,120,163,67,49,147,256,73,57,104,67,91,104,110,91
FBXO16,43,92,21,22,25,32,118,18,3,11,24,63,57,17,5,38
STAM-AS1,11,19,11,7,4,21,36,12,5,1,7,13,23,7,10,5
RP11-707O23.5,0,0,0,30,11,15,48,138,16,0,0,2,24,26,22,4
LIX1L,580,1618,1333,1430,614,1032,1253,1023,1426,490,668,563,1244,775,749,856
POU4F1,2,17,17,4,10,1,89,2,2,0,7,0,5,47,7,1
AC018738.2,144,332,145,213,95,171,383,169,105,99,89,154,223,125,125,114
NEUROG3,1,13,2,7,0,1,2,3,0,1,0,3,0,2,0,2
SVOP,8,6,8,13,5,4,11,14,2,2,10,5,4,7,1,7
RP3-337H4.9,6,16,9,12,7,3,5,11,7,5,7,13,3,5,4,8
TNKS2,2191,3639,3330,4008,1897,1047,1781,3580,3132,2064,1661,1889,2851,2271,2816,1487
GLUD1P3,61,89,78,64,31,56,68,73,58,33,44,51,100,69,49,33
PTGR2,167,268,134,303,70,160,328,282,89,57,102,177,283,147,143,230
